,Market Share_total
0,3.0200000000000005
1,2.9400000000000004
2,2.5300000000000002
3,6.549999999999999
4,12.839999999999998
5,11.78
6,10.62
7,10.62
8,10.0
9,10.17
10,10.84
11,7.2299999999999995
12,6.83
13,7.06
14,6.93
15,5.279999999999999
16,5.879999999999999
17,5.699999999999999
18,13.55
19,10.99
20,10.420000000000002
21,9.690000000000001
22,9.690000000000001
23,10.890000000000002
24,10.070000000000002
25,4.1899999999999995
26,3.63
27,5.859999999999999
28,6.2700000000000005
29,1.8
30,1.8
31,1.8
32,5.910000000000001
33,8.569999999999999
34,7.65
35,8.02
36,8.02
37,8.02
38,8.02
39,5.3
40,6.610000000000001
41,6.5299999999999985
42,8.059999999999999
43,11.309999999999999
44,13.220000000000002
45,12.41
46,12.41
47,11.690000000000001
48,11.690000000000001
49,15.419999999999998
50,14.080000000000002
51,11.959999999999999
52,13.559999999999999
53,11.6
54,10.39
55,15.699999999999998
56,10.360000000000001
57,9.25
58,9.33
59,8.680000000000003
60,10.680000000000001
61,10.57
62,9.8
63,13.180000000000001
64,11.99
65,9.0
66,8.45
67,6.659999999999999
68,7.18
69,6.7700000000000005
70,6.7700000000000005
71,6.7700000000000005
72,6.709999999999999
73,7.109999999999999
74,7.109999999999999
75,6.8199999999999985
76,7.220000000000001
77,7.220000000000001
78,9.359999999999998
79,9.359999999999998
80,9.359999999999998
81,9.359999999999998
82,9.359999999999998
83,9.359999999999998
84,7.849999999999999
85,7.849999999999999
86,8.809999999999999
87,14.01
88,13.470000000000002
89,12.64
90,9.43
91,8.139999999999999
92,3.47
93,4.37
94,5.76
95,6.029999999999999
96,6.06
97,4.47
98,4.249999999999999
99,3.44
100,3.0200000000000005
101,2.71
102,3.1700000000000004
103,4.15
104,3.9899999999999998
105,3.5
106,5.15
107,5.63
108,5.9399999999999995
109,5.1
110,4.859999999999999
111,5.87
112,4.12
113,3.8899999999999997
114,1.29
115,2.75
116,4.66
117,2.0300000000000002
118,3.6
119,1.94
120,1.5099999999999998
121,1.7100000000000002
122,4.11
123,4.11
124,3.31
125,4.11
126,2.5000000000000004
127,4.4399999999999995
128,4.4399999999999995
129,3.6399999999999997
130,4.4399999999999995
131,4.26
132,3.2299999999999995
133,3.13
134,3.25
135,1.8699999999999999
136,2.54
137,2.3400000000000003
138,3.6099999999999994
139,3.6099999999999994
140,1.15
141,1.5899999999999999
142,1.47
143,1.1400000000000001
144,1.1700000000000002
145,1.1
146,0.8699999999999999
147,0.8099999999999999
148,0.72
149,0.9099999999999998
150,1.0699999999999998
151,0.95
152,0.8400000000000001
153,1.06
154,0.6900000000000001
155,1.7
156,1.06
157,1.0299999999999998
158,0.9799999999999999
159,0.8200000000000001
160,1.4700000000000002
161,1.23
162,2.7199999999999998
163,2.89
164,3.4899999999999998
165,3.3200000000000003
166,10.120000000000001
167,1.3199999999999998
168,2.7800000000000002
169,1.0499999999999998
170,0.07999999999999999
171,0.33999999999999997
172,0.33999999999999997
173,0.33999999999999997
174,0.15
175,0.09
176,0.35
177,0.4
178,0.45
179,0.9700000000000003
180,0.86
181,0.9400000000000001
182,1.1600000000000001
183,1.11
184,0.48
185,0.39
186,2.0700000000000003
187,0.45
188,0.7200000000000001
189,0.7100000000000002
190,1.19
191,0.96
192,2.64
193,1.78
194,0.75
195,7.859999999999999
196,6.789999999999999
197,7.7700000000000005
198,5.11
199,3.34
200,2.22
201,2.1700000000000004
202,2.3200000000000003
203,12.28
204,8.74
205,3.54
206,9.22
207,9.180000000000001
208,9.25
209,9.25
210,9.209999999999999
211,9.17
212,9.190000000000001
213,9.3
214,10.209999999999999
215,10.95
216,9.280000000000001
217,10.25
218,10.25
219,10.14
220,10.31
221,10.63
222,11.27
223,11.27
224,6.7700000000000005
225,6.779999999999999
226,6.730000000000001
227,7.779999999999999
228,3.4899999999999993
229,6.58
230,10.690000000000001
231,6.82
232,10.790000000000001
233,6.460000000000001
234,6.51
235,5.88
236,7.229999999999999
237,12.19
238,9.14
239,12.13
240,9.13
241,3.4899999999999998
242,8.270000000000001
243,10.330000000000002
244,6.709999999999999
245,6.42
246,7.609999999999999
247,7.85
248,6.94
249,5.2
250,7.1
251,4.37
252,7.789999999999999
253,6.270000000000001
254,9.84
255,10.65
256,9.459999999999999
257,6.760000000000001
258,8.000000000000002
259,6.2
260,6.29
261,9.03
262,10.379999999999999
263,8.15
264,7.029999999999999
265,8.67
266,6.859999999999999
267,5.25
268,6.4399999999999995
269,7.909999999999999
270,12.35
271,11.34
272,10.93
273,11.389999999999999
274,11.389999999999999
275,7.359999999999999
276,6.62
277,13.139999999999997
278,13.799999999999997
279,13.799999999999997
280,14.45
281,14.86
282,14.86
283,15.6
284,15.6
285,15.6
286,20.279999999999998
287,10.86
288,10.86
289,11.889999999999999
290,13.98
291,13.500000000000004
292,10.439999999999998
293,13.279999999999998
294,9.51
295,8.85
296,6.9
297,9.13
298,7.06
299,5.75
300,4.960000000000001
301,5.7
302,9.280000000000001
303,8.33
304,5.7
305,8.33
306,21.59
